Date,Weight
2013-01-01,214.0
2013-01-02,213.8
2013-01-03,214.6
2013-01-04,215.4
2013-01-05,215.6
2013-01-06,213.0
2013-01-07,213.2
2013-01-08,213.2
2013-01-09,213.0
2013-01-10,215.0
2013-01-11,215.4
2013-01-12,215.6
2013-01-13,214.0
2013-01-14,211.0
2013-01-15,214.2
2013-01-16,214.3
2013-01-17,214.4
2013-01-19,213.8
2013-01-20,212.8
2013-01-22,213.4
2013-01-23,213.2
2013-01-24,213.2
2013-01-25,212.4
2013-01-26,211.2
2013-01-27,211.4
2013-01-28,212.2
2013-01-29,213.8
2013-02-01,214.8
2013-02-02,212.2
2013-02-03,212.4
2013-02-04,213.2
2013-02-05,211.4
2013-02-06,212.8
2013-02-08,215.2
2013-02-09,211.2
2013-02-10,213.0
2013-02-11,210.4
2013-02-12,213.2
2013-02-14,214.2
2013-02-15,214.6
2013-02-25,216.2
2013-02-26,214.0
2013-02-27,216.0
2013-02-28,216.4
2013-03-01,216.0
2013-03-02,214.0
2013-03-03,214.2
2013-03-04,214.0
2013-03-05,214.0
2013-03-06,213.6
2013-03-07,213.6
2013-03-08,214.8
2013-03-09,214.2
2013-03-10,215.4
2013-03-11,214.8
2013-03-12,214.4
2013-03-13,214.2
2013-03-14,214.4
2013-03-15,214.4
2013-03-16,216.6
2013-03-17,216.8
2013-03-18,213.8
2013-03-19,213.4
2013-03-21,215.0
2013-03-23,215.2
2013-03-24,214.6
2013-03-25,215.4
2013-03-26,215.2
2013-03-27,213.0
2013-03-28,214.6
2013-03-29,213.0
2013-03-30,214.2
2013-03-31,213.4
2013-04-01,213.4
2013-04-02,214.0
2013-04-03,213.4
2013-04-04,214.0
2013-04-05,215.8
2013-04-06,215.4
2013-04-07,213.8
2013-04-08,213.0
2013-04-09,213.4
2013-04-10,214.0
2013-04-11,214.4
2013-04-12,213.4
2013-04-13,215.2
2013-04-14,213.8
2013-04-15,213.6
2013-04-16,212.8
2013-04-17,210.6
2013-04-18,213.2
2013-04-19,212.0
2013-04-20,213.6
2013-04-21,213.0
2013-04-22,211.8
2013-04-23,213.0
2013-04-24,213.2
2013-04-25,212.0
2013-04-26,211.8
2013-04-27,211.8
2013-04-28,211.8
2013-04-29,211.8
2013-04-30,211.8
2013-05-01,212.0
2013-05-02,213.0
2013-05-03,212.0
2013-05-04,210.6
2013-05-05,211.4
2013-05-06,210.6
2013-05-07,211.6
2013-05-08,211.4
2013-05-09,210.0
2013-05-10,210.4
2013-05-11,211.8
2013-05-12,211.0
2013-05-13,211.4
2013-05-14,211.2
2013-05-15,208.8
2013-05-16,209.0
2013-05-17,209.8
2013-05-18,209.6
2013-05-19,209.6
2013-05-20,209.6
2013-05-21,208.6
2013-05-22,209.2
2013-05-23,208.2
2013-05-24,207.8
2013-06-04,211.8
2013-06-05,212.0
2013-06-06,210.4
2013-06-07,211.4
2013-06-08,210.8
2013-06-09,212.0
2013-06-10,212.2
2013-06-11,208.0
2013-06-12,209.0
2013-06-13,208.0
2013-06-14,208.2
2013-06-15,208.0
2013-06-16,207.0
2013-06-17,208.4
2013-06-18,209.0
2013-06-19,209.4
2013-06-20,208.2
2013-06-24,208.0
2013-06-25,208.4
2013-06-26,210.4
2013-06-28,207.4
2013-06-29,207.4
2013-07-02,210.4
2013-07-03,209.2
2013-07-04,209.8
2013-07-06,210.2
2013-07-07,209.8
2013-07-08,210.2
2013-07-10,211.6
2013-07-11,210.8
2013-07-13,210.0
2013-07-14,209.4
2013-07-16,211.0
2013-07-17,210.4
2013-07-18,210.2
2013-07-21,209.4
2013-07-22,208.4
2013-07-23,210.6
2013-07-24,212.0
2013-07-25,208.2
2013-07-26,210.4
2013-07-29,210.8
2013-07-30,210.0
2013-07-31,210.0
2013-08-01,210.8
2013-08-02,209.4
2013-08-03,208.4
2013-08-04,207.4
2013-08-05,211.0
2013-08-06,208.4
2013-08-07,210.8
2013-08-08,210.2
2013-08-09,210.4
2013-08-10,210.2
2013-08-11,209.6
2013-08-12,208.8
2013-08-13,208.8
2013-08-14,209.4
2013-08-15,209.4
2013-08-19,207.8
2013-08-21,210.8
2013-08-22,209.8
2013-08-23,207.0
2013-08-26,210.6
2013-08-27,211.4
2013-08-28,212.0
2013-08-29,212.0
2013-08-30,212.2
2013-08-31,212.0
2013-09-01,212.4
2013-09-02,210.4
2013-09-03,210.6
2013-09-04,209.8
2013-09-05,208.0
2013-09-06,208.0
2013-09-08,210.0
2013-09-09,211.4
2013-09-14,213.4
2013-09-15,213.6
2013-09-16,213.2
2013-09-17,212.8
2013-09-18,212.2
2013-09-19,211.6
2013-09-20,212.2
2013-09-23,214.0
2013-09-24,214.0
2013-09-25,213.4
2013-09-26,213.6
2013-09-27,213.6
2013-09-28,212.6
2013-09-29,215.4
2013-10-01,213.8
2013-10-02,213.6
2013-10-03,213.2
2013-10-04,214.6
2013-10-05,214.6
2013-10-06,214.6
2013-10-07,212.8
2013-10-08,213.4
2013-10-09,213.0
2013-10-10,212.2
2013-10-15,215.0
2013-10-16,213.0
2013-10-17,213.2
2013-10-18,213.0
2013-10-20,214.8
2013-10-21,212.8
2013-10-22,214.4
2013-10-23,213.8
2013-10-24,212.6
2013-10-25,213.4
2013-10-26,212.0
2013-10-27,212.0
2013-10-29,214.2
2013-10-30,215.2
2013-10-31,214.0
2013-11-01,213.4
2013-11-02,214.0
2013-11-04,213.4
2013-11-05,213.4
2013-11-06,213.8
2013-11-07,215.4
2013-11-08,214.4
2013-11-09,214.8
2013-11-10,214.0
2013-11-11,213.2
2013-11-12,214.2
2013-11-13,213.2
2013-11-15,214.0
2013-11-18,215.6
2013-11-19,213.6
2013-11-20,212.2
2013-11-21,213.4
2013-11-22,212.8
2013-11-23,213.2
2013-11-24,215.0
2013-11-25,214.2
2013-11-26,212.8
2013-11-27,215.4
2013-11-28,215.0
2013-11-29,214.6
2013-11-30,214.1
2013-12-01,213.7
2013-12-02,213.2
2013-12-03,213.4
2013-12-04,213.4
2013-12-05,214.4
2013-12-06,214.4
2013-12-07,213.4
2013-12-09,211.8
2013-12-10,212.4
2013-12-11,214.6
2013-12-12,214.0
2013-12-13,214.6
2013-12-14,213.6
2013-12-15,212.2
2013-12-16,211.2
2013-12-17,210.8
2013-12-18,210.2
2013-12-19,210.2
2013-12-20,213.4
2013-12-21,213.4
2013-12-22,213.6
2013-12-26,215.8
2013-12-27,215.8
2013-12-28,216.0
2013-12-29,215.4
2014-01-01,217.0
2014-01-02,216.4
2014-01-03,216.2
2014-01-04,213.4
2014-01-05,213.6
2014-01-06,213.4
2014-01-07,212.2
2014-01-08,213.2
2014-01-09,213.4
2014-01-10,212.8
2014-01-11,211.4
2014-01-19,212.0
2014-01-20,210.2
2014-01-21,210.4
2014-01-22,212.2
2014-01-23,209.4
2014-01-24,210.4
2014-01-25,209.2
2014-01-26,210.2
2014-01-27,209.0
2014-01-28,209.2
2014-01-29,207.6
2014-01-30,208.4
2014-01-31,207.4
2014-02-01,208.2
2014-02-02,206.2
2014-02-03,207.4
2014-02-04,205.6
2014-02-05,205.8
2014-02-06,206.0
2014-02-07,203.6
2014-02-08,205.6
2014-02-09,207.6
2014-02-10,207.0
2014-02-11,206.8
2014-02-12,207.2
2014-02-13,206.8
2014-02-14,206.6
2014-02-15,205.6
2014-02-16,204.4
2014-02-17,204.4
2014-02-18,204.4
2014-02-19,205.2
2014-02-24,205.4
2014-02-25,206.2
2014-02-26,207.4
2014-02-27,206.6
2014-02-28,206.2
2014-03-01,207.2
2014-03-02,206.8
2014-03-03,203.6
2014-03-04,203.4
2014-03-05,204.6
2014-03-06,205.0
2014-03-07,205.2
2014-03-08,206.0
2014-03-09,205.6
2014-03-10,205.0
2014-03-11,205.2
2014-03-12,204.6
2014-03-14,203.6
2014-03-15,203.2
2014-03-16,206.0
2014-03-17,205.8
2014-03-18,205.6
2014-03-19,206.2
2014-03-24,206.6
2014-03-25,202.6
2014-03-26,203.2
2014-03-27,203.8
2014-03-28,205.6
2014-03-29,205.8
2014-03-30,204.6
2014-03-31,203.8
2014-04-01,204.6
2014-04-02,204.2
2014-04-03,202.6
2014-04-04,202.0
2014-04-05,204.2
2014-04-06,204.1
2014-04-07,204.0
2014-04-08,203.2
2014-04-09,203.8
2014-04-10,202.4
2014-04-11,202.8
2014-04-12,202.4
2014-04-13,200.8
2014-04-14,202.8
2014-04-15,202.2
2014-04-16,202.2
2014-04-17,201.6
2014-04-18,202.4
2014-04-19,202.2
2014-04-20,202.2
2014-04-21,201.6
2014-04-22,203.8
2014-04-23,203.2
2014-04-24,201.6
2014-04-25,201.2
2014-04-26,200.8
2014-04-27,201.4
2014-04-28,200.4
2014-04-29,200.0
2014-04-30,200.8
2014-05-01,201.2
2014-05-02,199.8
2014-05-03,197.6
2014-05-12,203.2
2014-05-13,200.8
2014-05-14,200.6
2014-05-15,200.6
2014-05-16,199.2
2014-05-17,198.6
2014-05-18,199.8
2014-05-19,199.2
2014-05-21,198.4
2014-05-22,200.4
2014-05-27,201.2
2014-05-28,202.6
2014-05-29,200.8
2014-05-30,203.0
2014-05-31,200.4
2014-06-01,201.6
2014-06-02,203.4
2014-06-03,203.0
2014-06-04,201.8
2014-06-07,201.4
2014-06-08,201.4
2014-06-09,201.4
2014-06-10,201.4
2014-06-14,203.0
2014-06-17,202.2
2014-06-18,201.8
2014-06-20,202.4
2014-06-21,202.3
2014-06-22,202.2
2014-06-23,201.6
2014-06-24,202.6
2014-06-25,199.2
2014-06-27,200.8
2014-06-28,201.6
2014-06-29,201.6
2014-06-30,201.4
2014-07-01,201.6
2014-07-02,201.6
2014-07-03,200.6
2014-07-04,201.6
2014-07-05,201.8
2014-07-06,202.0
2014-07-07,201.6
2014-07-08,200.8
2014-07-09,201.6
2014-07-10,201.6
2014-07-11,201.6
2014-07-12,201.6
2014-07-13,201.6
2014-07-14,201.6
2014-07-15,200.2
2014-07-16,201.8
2014-07-17,200.6
2014-07-18,200.6
2014-07-19,201.6
2014-07-21,199.2
2014-07-22,201.8
2014-07-28,202.8
2014-07-29,201.2
2014-07-30,201.6
2014-07-31,201.8
2014-08-01,201.6
2014-08-02,200.0
2014-08-03,200.8
2014-08-09,203.6
2014-08-10,203.0
2014-08-11,203.2
2014-08-12,202.2
2014-08-13,201.4
2014-08-14,203.4
2014-08-15,201.4
2014-08-16,201.4
2014-08-17,201.4
2014-08-18,201.4
2014-08-19,203.0
2014-08-23,201.8
2014-08-25,199.4
2014-09-05,202.6
2014-09-06,202.2
2014-09-07,201.4
2014-09-09,199.6
2014-09-15,198.4
2014-09-16,198.6
2014-09-17,197.2
2014-09-18,200.6
2014-09-19,197.2
2014-10-06,205.2
2014-10-15,206.8
2014-10-17,208.4
2014-10-21,212.4
2014-10-25,213.4
2014-10-26,213.2
2014-10-27,213.0
2014-10-29,210.8
2014-11-01,213.2
2014-11-02,213.4
2014-11-03,211.2
2014-11-04,211.2
2014-11-05,209.4
2014-11-09,212.0
2014-11-10,210.4
2014-11-22,215.4
2014-11-23,216.6
2014-11-30,217.2
2014-12-01,217.2
2014-12-02,215.2
2014-12-22,218.8
2014-12-28,220.4
2014-12-29,218.2
2014-12-31,220.8
2015-01-01,220.8
2015-01-02,223.2
2015-01-03,222.6
2015-01-04,221.0
2015-01-05,219.6
2015-01-06,219.2
2015-01-07,219.8
2015-01-08,220.6
2015-01-09,220.2
2015-01-10,221.2
2015-01-11,221.4
2015-01-12,218.4
2015-01-13,217.8
2015-01-14,218.0
2015-01-15,220.4
2015-01-16,219.8
2015-01-17,216.4
2015-01-18,219.8
2015-01-25,221.2
2015-01-26,222.6
2015-01-27,220.4
2015-01-28,220.2
2015-01-29,220.4
2015-01-30,218.0
2015-01-31,219.8
2015-02-01,218.0
2015-02-02,217.8
2015-02-03,218.2
2015-02-04,218.4
2015-02-05,218.6
2015-02-06,220.0
2015-02-07,220.0
2015-02-12,220.6
2015-02-13,221.8
2015-02-14,219.8
2015-02-15,220.4
2015-02-16,219.0
2015-02-18,220.4
2015-02-19,217.4
2015-02-20,220.2
2015-02-26,221.4
2015-02-27,222.4
2015-02-28,220.4
2015-03-01,220.0
2015-03-02,219.2
2015-03-03,220.8
2015-03-04,220.8
2015-03-05,219.4
2015-03-09,217.4
2015-03-10,218.6
2015-03-11,218.0
2015-03-12,219.8
2015-03-13,219.2
2015-03-14,216.0
2015-03-15,214.6
2015-03-16,216.8
2015-03-17,217.6
2015-03-21,217.0
